"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16731-9642","PG","Russell","Westbrook","48.870001220703124","80","12000","OKC@PHI","OKC","PHI","","","",""
"16731-9644","SG","James","Harden","47.56585246760671","82","11200","HOU@LAL","HOU","LAL","","","",""
"16731-15755","PF","Anthony","Davis","44.137703317110656","61","10200","DEN@NO","NO","DEN","","","",""
"16731-12362","C","DeMarcus","Cousins","47.66153846153846","65","10000","SAC@PHO","SAC","PHO","","","",""
"16731-12341","SF","Paul","George","38.76666787229938","81","9500","DAL@IND","IND","DAL","","","",""
"16731-40199","SG","Giannis","Antetokounmpo","35.151251220703124","80","9400","CHA@MIL","MIL","CHA","","","",""
"16731-58462","C","Karl-Anthony","Towns","36.32073230278201","82","8800","MIN@MEM","MIN","MEM","","","",""
"16731-12363","C","Hassan","Whiteside","35.75342465753425","73","8700","MIA@ORL","MIA","ORL","","","",""
"16731-9621","C","Brook","Lopez","35.606849983946915","73","8400","BKN@BOS","BKN","BOS","","","",""
"16731-15557","C","Andre","Drummond","39.0135814525463","81","8200","DET@TOR","DET","TOR","","","",""
"16731-14507","PG","Kemba","Walker","35.93950737847222","81","8100","CHA@MIL","CHA","MIL","","","",""
"16731-14559","PG","Isaiah","Thomas","34.854879239710364","82","8000","BKN@BOS","BOS","BKN","","","",""
"16731-9535","PG","Kyle","Lowry","38.5974025974026","77","8000","DET@TOR","TOR","DET","","","",""
"16731-9663","PG","Jrue","Holiday","30.192307692307693","65","7900","DEN@NO","NO","DEN","O","Personal","",""
"16731-14514","C","Nikola","Vucevic","34.78307542067308","65","7700","MIA@ORL","ORL","MIA","","","",""
"16731-12355","PG","Eric","Bledsoe","36.12903225806452","31","7600","SAC@PHO","PHO","SAC","","","",""
"16731-9714","SG","DeMar","DeRozan","35.279487805488785","78","7500","DET@TOR","TOR","DET","","","",""
"16731-15684","SG","Victor","Oladipo","30.286112467447918","72","7400","OKC@PHI","OKC","PHI","","","",""
"16731-9581","C","Marc","Gasol","32.911538931039665","52","7300","MIN@MEM","MEM","MIN","","","",""
"16731-9637","SF","Danilo","Gallinari","30.528301886792452","53","7100","DEN@NO","DEN","NO","","","",""
