"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16774-12362","C","DeMarcus","Cousins","44.6000010172526","3","9900","SAC@ATL","SAC","ATL","","","",""
"16774-9623","PG","Chris","Paul","36.29999923706055","2","9300","PHO@LAC","LAC","PHO","","","",""
"16774-9560","PF","Blake","Griffin","42.04999923706055","2","9000","PHO@LAC","LAC","PHO","","","",""
"16774-9729","PF","Paul","Millsap","36.599998474121094","2","8100","SAC@ATL","ATL","SAC","","","",""
"16774-14528","SF","Jimmy","Butler","34.70000076293945","2","8000","CHI@BKN","CHI","BKN","","","",""
"16774-9714","SG","DeMar","DeRozan","43.349998474121094","2","7900","DEN@TOR","TOR","DEN","","","",""
"16774-9660","C","Dwight","Howard","29.350000381469727","2","7800","SAC@ATL","ATL","SAC","","","",""
"16774-9621","C","Brook","Lopez","20.25","2","7600","CHI@BKN","BKN","CHI","","","",""
"16774-9561","C","DeAndre","Jordan","24.299999237060547","2","7500","PHO@LAC","LAC","PHO","GTD","Hand","",""
"16774-12355","PG","Eric","Bledsoe","34.56666564941406","3","7400","PHO@LAC","PHO","LAC","","","",""
"16774-9535","PG","Kyle","Lowry","23.700000762939453","2","7400","DEN@TOR","TOR","DEN","","","",""
"16774-9577","SF","Rudy","Gay","36.333333333333336","3","7300","SAC@ATL","SAC","ATL","","","",""
"16774-9455","PG","Rajon","Rondo","26.899999618530273","2","7300","CHI@BKN","CHI","BKN","","","",""
"16774-9585","SG","Dwyane","Wade","31.350000381469727","2","6900","CHI@BKN","CHI","BKN","","","",""
"16774-9637","SF","Danilo","Gallinari","26.299999237060547","2","6900","DEN@TOR","DEN","TOR","","","",""
"16774-12443","PG","Jeremy","Lin","34.666666666666664","3","6500","CHI@BKN","BKN","CHI","","","",""
"16774-14503","C","Jonas","Valanciunas","37.54999923706055","2","6400","DEN@TOR","TOR","DEN","","","",""
"16774-9624","PG","Darren","Collison","23.59189255173142","74","6300","SAC@ATL","SAC","ATL","O","Suspension","",""
"16774-40201","PG","Dennis","Schroder","24.25","2","6300","SAC@ATL","ATL","SAC","","","",""
"16774-55062","PF","Nikola","Jokic","33.900001525878906","2","6100","DEN@TOR","DEN","TOR","","","",""
"16774-58460","SG","Devin","Booker","19.866666158040363","3","6100","PHO@LAC","PHO","LAC","","","",""
"16774-63124","PG","Emmanuel","Mudiay","28.149999618530273","2","5900","DEN@TOR","DEN","TOR","","","",""
