"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16821-15755","PF","Anthony","","Davis","57.65999755859375","5","11200","PHO@NO","NO","PHO","","","",""
"16821-9646","SF","Kevin","","Durant","51.620001220703124","5","9900","GS@LAL","GS","LAL","","","",""
"16821-20848","PG","Damian","","Lillard","45.9","5","9600","POR@DAL","POR","DAL","","","",""
"16821-12332","PG","John","","Wall","44.73333231608073","3","9000","ATL@WAS","WAS","ATL","","","",""
"16821-9623","PG","Chris","","Paul","41.32500076293945","4","9000","LAC@MEM","LAC","MEM","","","",""
"16821-9560","PF","Blake","","Griffin","39.775001525878906","4","8900","LAC@MEM","LAC","MEM","","","",""
"16821-9524","PG","Stephen","","Curry","34","5","8800","GS@LAL","GS","LAL","","","",""
"16821-15860","PF","Draymond","","Green","39.16000061035156","5","8500","GS@LAL","GS","LAL","","","",""
"16821-9714","SG","DeMar","","DeRozan","46.17499923706055","4","8500","MIA@TOR","TOR","MIA","","","",""
"16821-12363","C","Hassan","","Whiteside","41.25","4","8400","MIA@TOR","MIA","TOR","","","",""
"16821-14513","SF","Kawhi","","Leonard","43.73999938964844","5","8400","SA@UTA","SA","UTA","","","",""
"16821-9660","C","Dwight","","Howard","35.900001525878906","4","8300","ATL@WAS","ATL","WAS","","","",""
"16821-9729","PF","Paul","","Millsap","35.099998474121094","4","8100","ATL@WAS","ATL","WAS","","","",""
"16821-9663","PG","Jrue","","Holiday","30.192307692307693","65","7900","PHO@NO","NO","PHO","O","Personal","",""
"16821-14507","PG","Kemba","","Walker","34.95000076293945","4","7800","CHA@BKN","CHA","BKN","","","",""
"16821-14528","SF","Jimmy","","Butler","33.849998474121094","4","7700","NY@CHI","CHI","NY","","","",""
"16821-12355","PG","Eric","","Bledsoe","32.63999938964844","5","7600","PHO@NO","PHO","NO","","","",""
"16821-9535","PG","Kyle","","Lowry","30.774999618530273","4","7500","MIA@TOR","TOR","MIA","","","",""
"16821-12366","SF","Gordon","","Hayward","31.754998779296876","80","7300","SA@UTA","UTA","SA","O","Finger","",""
"16821-9508","SF","Carmelo","","Anthony","30.25","4","7300","NY@CHI","NY","CHI","","","",""
"16821-9561","C","DeAndre","","Jordan","27","4","7300","LAC@MEM","LAC","MEM","","","",""
"16821-9621","C","Brook","","Lopez","26.899999618530273","4","7300","CHA@BKN","BKN","CHA","","","",""
"16821-9673","PG","Goran","","Dragic","36.79999923706055","4","7200","MIA@TOR","MIA","TOR","","","",""
"16821-19067","SG","C.J.","","McCollum","32.76000061035156","5","7100","POR@DAL","POR","DAL","","","",""
"16821-9688","PF","LaMarcus","","Aldridge","30.075000762939453","4","7100","SA@UTA","SA","UTA","","","",""
"16821-9581","C","Marc","","Gasol","34","4","7000","LAC@MEM","MEM","LAC","","","",""
"16821-9455","PG","Rajon","","Rondo","27.274999618530273","4","6800","NY@CHI","CHI","NY","","","",""
"16821-9500","PF","Dirk","","Nowitzki","28.299999237060547","2","6800","POR@DAL","DAL","POR","","","",""
"16821-40203","C","Rudy","","Gobert","30","5","6800","SA@UTA","UTA","SA","","","",""
"16821-9585","SG","Dwyane","","Wade","28.375","4","6700","NY@CHI","CHI","NY","","","",""
"16821-9575","PG","Mike","","Conley","28.924999237060547","4","6500","LAC@MEM","MEM","LAC","","","",""
"16821-63122","PF","Kristaps","","Porzingis","27.174999237060547","4","6400","NY@CHI","NY","CHI","","","",""
"16821-9809","SG","Nicolas","","Batum","29.274999618530273","4","6400","CHA@BKN","CHA","BKN","","","",""
"16821-14537","SF","Chandler","","Parsons","24.147540983606557","61","6400","LAC@MEM","MEM","LAC","O","Knee","",""
"16821-9570","C","Pau","","Gasol","23.480000305175782","5","6400","SA@UTA","SA","UTA","","","",""
"16821-12443","PG","Jeremy","","Lin","30.060000610351562","5","6300","CHA@BKN","BKN","CHA","O","Hamstring","",""
"16821-14503","C","Jonas","","Valanciunas","30.325000762939453","4","6200","MIA@TOR","TOR","MIA","","","",""
"16821-58312","PG","D'Angelo","","Russell","27.8","5","6100","GS@LAL","LAL","GS","","","",""
"16821-42669","PF","Julius","","Randle","26.23999938964844","5","6100","GS@LAL","LAL","GS","","","",""
"16821-12351","PF","Derrick","","Favors","18.950000762939453","4","6000","SA@UTA","UTA","SA","","","",""
"16821-9661","C","Marcin","","Gortat","28.1999994913737","3","6000","ATL@WAS","WAS","ATL","","","",""
"16821-9722","PG","Deron","","Williams","25.174999237060547","4","6000","POR@DAL","DAL","POR","GTD","Groin","",""
