"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16737-12362","C","DeMarcus","Cousins","33.20000076293945","1","9800","SA@SAC","SAC","SA","","","",""
"16737-9623","PG","Chris","Paul","41.351351351351354","74","9500","LAC@POR","LAC","POR","","","",""
"16737-12332","PG","John","Wall","42.33246880073052","77","9400","WAS@ATL","WAS","ATL","","","",""
"16737-20848","PG","Damian","Lillard","54.79999923706055","1","9100","LAC@POR","POR","LAC","","","",""
"16737-9560","PF","Blake","Griffin","38.96571568080357","35","8600","LAC@POR","LAC","POR","","","",""
"16737-14528","SF","Jimmy","Butler","37.09403057952425","67","8200","BOS@CHI","CHI","BOS","","","",""
"16737-14513","SF","Kawhi","Leonard","53.5","1","8200","SA@SAC","SA","SAC","","","",""
"16737-14559","PG","Isaiah","Thomas","46.70000076293945","1","8000","BOS@CHI","BOS","CHI","","","",""
"16737-9729","PF","Paul","Millsap","37.600001205632715","81","8000","WAS@ATL","ATL","WAS","","","",""
"16737-9561","C","DeAndre","Jordan","35.51688375101461","77","8000","LAC@POR","LAC","POR","","","",""
"16737-9688","PF","LaMarcus","Aldridge","47.29999923706055","1","7800","SA@SAC","SA","SAC","","","",""
"16737-9660","C","Dwight","Howard","32.71830985915493","71","7500","WAS@ATL","ATL","WAS","","","",""
"16737-9455","PG","Rajon","Rondo","37.002777099609375","72","7500","BOS@CHI","CHI","BOS","","","",""
"16737-9570","C","Pau","Gasol","7.300000190734863","1","7100","SA@SAC","SA","SAC","","","",""
"16737-9585","SG","Dwyane","Wade","31.437836518158782","74","7000","BOS@CHI","CHI","BOS","","","",""
"16737-9453","C","Al","Horford","32","1","7000","BOS@CHI","BOS","CHI","","","",""
"16737-19067","SG","C.J.","McCollum","30.899999618530273","1","6900","LAC@POR","POR","LAC","","","",""
"16737-9577","SF","Rudy","Gay","36.599998474121094","1","6900","SA@SAC","SAC","SA","","","",""
"16737-9661","C","Marcin","Gortat","29.626666666666665","75","6500","WAS@ATL","WAS","ATL","","","",""
"16737-40201","PG","Dennis","Schroder","20.30625","80","6500","WAS@ATL","ATL","WAS","","","",""
"16737-15595","SG","Bradley","Beal","26.26000088778409","55","6200","WAS@ATL","WAS","ATL","","","",""
"16737-9873","C","Robin","Lopez","23.078049078220275","82","5700","BOS@CHI","CHI","BOS","","","",""
