"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16857-9644","SG","James","","Harden","56.96666463216146","6","11800","HOU@WAS","HOU","WAS","","","",""
"16857-9642","PG","Russell","","Westbrook","57.46666463216146","6","11700","MIA@OKC","OKC","MIA","","","",""
"16857-15755","PF","Anthony","","Davis","55.916666666666664","6","10900","NO@GS","NO","GS","","","",""
"16857-9646","SF","Kevin","","Durant","49.93333435058594","6","9800","NO@GS","GS","NO","","","",""
"16857-12332","PG","John","","Wall","44.54999923706055","4","9200","HOU@WAS","WAS","HOU","","","",""
"16857-9623","PG","Chris","","Paul","44.20000203450521","6","9100","DET@LAC","LAC","DET","","","",""
"16857-9524","PG","Stephen","","Curry","35.51666768391927","6","8700","NO@GS","GS","NO","","","",""
"16857-12341","SF","Paul","","George","34.86666615804037","6","8600","IND@CHA","IND","CHA","","","",""
"16857-12363","C","Hassan","","Whiteside","42.539999389648436","5","8500","MIA@OKC","MIA","OKC","","","",""
"16857-9560","PF","Blake","","Griffin","38.1000010172526","6","8500","DET@LAC","LAC","DET","","","",""
"16857-15860","PF","Draymond","","Green","39.26666768391927","6","8400","NO@GS","GS","NO","","","",""
"16857-15557","C","Andre","","Drummond","37.18333435058594","6","8200","DET@LAC","DET","LAC","","","",""
"16857-9663","PG","Jrue","","Holiday","30.192307692307693","65","7900","NO@GS","NO","GS","O","Personal","",""
"16857-14507","PG","Kemba","","Walker","34.9","5","7800","IND@CHA","CHA","IND","","","",""
"16857-14528","SF","Jimmy","","Butler","30.96666717529297","6","7500","ORL@CHI","CHI","ORL","","","",""
"16857-12366","SF","Gordon","","Hayward","31","1","7300","UTA@PHI","UTA","PHI","","","",""
"16857-14514","C","Nikola","","Vucevic","31.3000005086263","6","7200","ORL@CHI","ORL","CHI","GTD","Shoulder","",""
"16857-9673","PG","Goran","","Dragic","35.13999938964844","5","7100","MIA@OKC","MIA","OKC","","","",""
"16857-9561","C","DeAndre","","Jordan","27.883333841959637","6","6900","DET@LAC","LAC","DET","","","",""
"16857-23825","PF","Nerlens","","Noel","27.719402256296643","67","6800","UTA@PHI","PHI","UTA","O","Knee","",""
"16857-58253","C","Myles","","Turner","33.51666768391927","6","6700","IND@CHA","IND","CHA","","","",""
"16857-9585","SG","Dwyane","","Wade","27.366666158040363","6","6700","ORL@CHI","CHI","ORL","","","",""
"16857-40203","C","Rudy","","Gobert","28.028570992606028","7","6700","UTA@PHI","UTA","PHI","","","",""
"16857-9809","SG","Nicolas","","Batum","29.179998779296874","5","6400","IND@CHA","CHA","IND","","","",""
"16857-9455","PG","Rajon","","Rondo","23.71666717529297","6","6200","ORL@CHI","CHI","ORL","","","",""
"16857-9446","PG","Jeff","","Teague","27.083333333333332","6","6100","IND@CHA","IND","CHA","","","",""
"16857-14518","PF","Tobias","","Harris","28.149998982747395","6","6100","DET@LAC","DET","LAC","","","",""
"16857-14512","SF","Marcus","","Morris","28.616666158040363","6","6000","DET@LAC","DET","LAC","","","",""
"16857-9703","PG","George","","Hill","32.785714285714285","7","6000","UTA@PHI","UTA","PHI","","","",""
"16857-9526","SG","Monta","","Ellis","25.01666768391927","6","5900","IND@CHA","IND","CHA","","","",""
"16857-12351","PF","Derrick","","Favors","18.900000254313152","6","5900","UTA@PHI","UTA","PHI","","","",""
"16857-9661","C","Marcin","","Gortat","28.879998779296876","5","5900","HOU@WAS","WAS","HOU","","","",""
"16857-19138","PG","Elfrid","","Payton","26.166666666666668","6","5800","ORL@CHI","ORL","CHI","","","",""
"16857-41594","SF","Aaron","","Gordon","25.5500005086263","6","5800","ORL@CHI","ORL","CHI","","","",""
"16857-23096","SG","Evan","","Fournier","25.78333282470703","6","5800","ORL@CHI","ORL","CHI","","","",""
"16857-14511","PF","Markieff","","Morris","28.339999389648437","5","5800","HOU@WAS","WAS","HOU","","","",""
"16857-9666","PF","Thaddeus","","Young","25.100001017252605","6","5800","IND@CHA","IND","CHA","","","",""
"16857-14509","SG","Klay","","Thompson","24.633333841959637","6","5700","NO@GS","GS","NO","","","",""
"16857-12511","PG","Ish","","Smith","24.683334350585938","6","5700","DET@LAC","DET","LAC","","","",""
"16857-15758","SF","Michael","","Kidd-Gilchrist","26.639999389648438","5","5600","IND@CHA","CHA","IND","","","",""
"16857-15684","SG","Victor","","Oladipo","22.316665649414062","6","5600","MIA@OKC","OKC","MIA","","","",""
"16857-9481","PF","Taj","","Gibson","26.416666666666668","6","5600","ORL@CHI","CHI","ORL","","","",""
"16857-9957","PF","Serge","","Ibaka","22.116666158040363","6","5400","ORL@CHI","ORL","CHI","","","",""
"16857-16071","PG","Tim","","Frazier","28.633333841959637","6","5400","NO@GS","NO","GS","","","",""
"16857-15595","SG","Bradley","","Beal","24.26000061035156","5","5400","HOU@WAS","WAS","HOU","","","",""
"16857-15904","SG","Rodney","","Hood","27.114286150251115","7","5400","UTA@PHI","UTA","PHI","","","",""
"16857-9451","PF","Marvin","","Williams","22.939999389648438","5","5200","IND@CHA","CHA","IND","GTD","Illness","",""
"16857-23169","C","Steven","","Adams","25.916666666666668","6","5200","MIA@OKC","OKC","MIA","","","",""
"16857-71420","PG","Sergio","","Rodriguez","27.179998779296874","5","5200","UTA@PHI","PHI","UTA","","","",""
"16857-58083","C","Jahlil","","Okafor","18.850000381469727","4","5100","UTA@PHI","PHI","UTA","","","",""
"16857-9556","SG","Eric","","Gordon","23.883333841959637","6","5100","HOU@WAS","HOU","WAS","","","",""
"16857-9772","PF","Ryan","","Anderson","19.599999745686848","6","5000","HOU@WAS","HOU","WAS","","","",""
"16857-58084","SF","Justise","","Winslow","27","5","5000","MIA@OKC","MIA","OKC","","","",""
"16857-49111","C","Joel","","Embiid","31","4","5000","UTA@PHI","PHI","UTA","","","",""
"16857-15628","SF","Otto","","Porter","23.339999389648437","5","4900","HOU@WAS","WAS","HOU","","","",""
"16857-18600","PG","Tyler","","Johnson","26.6","5","4900","MIA@OKC","MIA","OKC","","","",""
"16857-15691","C","Cody","","Zeller","22.780000305175783","5","4900","IND@CHA","CHA","IND","","","",""
"16857-14522","PF","Nikola","","Mirotic","20.8000005086263","6","4900","ORL@CHI","CHI","ORL","","","",""
"16857-9538","SF","Trevor","","Ariza","22.333333333333332","6","4900","HOU@WAS","HOU","WAS","","","",""
"16857-14516","PF","Enes","","Kanter","19.483333587646484","6","4800","MIA@OKC","OKC","MIA","","","",""
"16857-15636","SG","Kentavious","","Caldwell-Pope","22.683334350585938","6","4700","DET@LAC","DET","LAC","","","",""
"16857-9873","C","Robin","","Lopez","19.566666920979817","6","4600","ORL@CHI","CHI","ORL","","","",""
"16857-16220","SG","Dion","","Waiters","21.539999389648436","5","4600","MIA@OKC","MIA","OKC","","","",""
"16857-12474","PG","Patrick","","Beverley","21.270421847491196","71","4600","HOU@WAS","HOU","WAS","O","Knee","",""
"16857-9447","SF","Joe","","Johnson","22.699999128069198","7","4500","UTA@PHI","UTA","PHI","","","",""
"16857-14505","C","Bismack","","Biyombo","16.939999389648438","5","4500","ORL@CHI","ORL","CHI","","","",""
"16857-14510","SG","Alec","","Burks","20.332257670740926","31","4500","UTA@PHI","UTA","PHI","O","Ankle","",""
"16857-9648","SF","Jeff","","Green","17.75","6","4500","ORL@CHI","ORL","CHI","","","",""
"16857-15757","PF","Terrence","","Jones","21.1","5","4400","NO@GS","NO","GS","","","",""
"16857-9448","SG","Jamal","","Crawford","19.233333587646484","6","4400","DET@LAC","LAC","DET","","","",""
"16857-14554","SG","E'Twaun","","Moore","19.599999745686848","6","4400","NO@GS","NO","GS","","","",""
"16857-20491","SF","Robert","","Covington","15.88000030517578","5","4400","UTA@PHI","PHI","UTA","","","",""
"16857-55059","C","Clint","","Capela","20.183333079020183","6","4400","HOU@WAS","HOU","WAS","","","",""
"16857-16201","PG","Michael","","Carter-Williams","12.266666412353516","3","4200","ORL@CHI","CHI","ORL","O","Knee","",""
"16857-14539","PF","Jon","","Leuer","21.066666920979817","6","4200","DET@LAC","DET","LAC","","","",""
"16857-9725","SF","C.J.","","Miles","22.1999994913737","6","4200","IND@CHA","IND","CHA","","","",""
"16857-18393","PG","T.J.","","McConnell","14.5","5","4100","UTA@PHI","PHI","UTA","","","",""
"16857-12369","SF","Lance","","Stephenson","20.083333333333332","6","4100","NO@GS","NO","GS","O","Groin","",""
"16857-14533","PG","Shelvin","","Mack","11.271428789411273","7","4100","UTA@PHI","UTA","PHI","","","",""
"16857-9778","PF","Josh","","McRoberts","9.94047619047619","42","4000","MIA@OKC","MIA","OKC","GTD","Foot","",""
"16857-16448","PF","Frank","","Kaminsky","19.03333282470703","3","4000","IND@CHA","CHA","IND","","","",""
"16857-9454","C","Zaza","","Pachulia","17.433333079020183","6","4000","NO@GS","GS","NO","","","",""
"16857-9951","SG","Gerald","","Henderson","15.080000305175782","5","4000","UTA@PHI","PHI","UTA","","","",""
"16857-23665","SG","Buddy","","Hield","14","6","4000","NO@GS","NO","GS","","","",""
"16857-55056","PF","Dario","","Saric","17.91999969482422","5","4000","UTA@PHI","PHI","UTA","","","",""
"16857-59358","PF","Domantas","","Sabonis","14.283332824707031","6","3900","MIA@OKC","OKC","MIA","","","",""
"16857-23831","SF","Jerami","","Grant","13.2","5","3900","MIA@OKC","OKC","MIA","","","",""
"16857-15631","SG","Hollis","","Thompson","15.539999389648438","5","3900","UTA@PHI","PHI","UTA","GTD","Ankle","",""
"16857-15559","SG","Jeremy","","Lamb","14.633333841959635","3","3900","IND@CHA","CHA","IND","O","Hamstring","",""
"16857-15417","SF","Solomon","","Hill","15.633333841959635","6","3900","NO@GS","NO","GS","","","",""
"16857-9609","C","Al","","Jefferson","13.949999491373697","6","3900","IND@CHA","IND","CHA","","","",""
"16857-9655","SG","J.J.","","Redick","14.683333079020182","6","3900","DET@LAC","LAC","DET","","","",""
"16857-18256","SF","Doug","","McDermott","17.76000061035156","5","3900","ORL@CHI","CHI","ORL","","","",""
"16857-23447","PF","Richaun","","Holmes","16.825000762939453","4","3800","UTA@PHI","PHI","UTA","","","",""
"16857-15592","PG","Austin","","Rivers","13.166666666666666","6","3800","DET@LAC","LAC","DET","","","",""
"16857-9598","PF","Ersan","","Ilyasova","17.019999694824218","5","3800","UTA@PHI","PHI","UTA","","","",""
"16857-9671","PF","Marreese","","Speights","17.366666158040363","6","3800","DET@LAC","LAC","DET","","","",""
"16857-9664","SF","Andre","","Iguodala","14.516666412353516","6","3800","NO@GS","GS","NO","","","",""
"16857-15548","SF","Andre","","Roberson","16.866666158040363","6","3700","MIA@OKC","OKC","MIA","","","",""
"16857-9512","C","Nene","","Hilario","15.719999694824219","5","3700","HOU@WAS","HOU","WAS","","","",""
"16857-14500","PF","Derrick","","Williams","15.383749389648438","80","3700","MIA@OKC","MIA","OKC","","","",""
