"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17035-23831","SF","Jerami","","Grant","12.546154315655048","13","3600","OKC@LAL","OKC","LAL","","","",""
"17035-18256","SF","Doug","","McDermott","15.977778116861979","9","3600","CHI@DEN","CHI","DEN","GTD","Concussion","",""
"17035-15996","PG","Jerian","","Grant","11.799999660915798","9","3600","CHI@DEN","CHI","DEN","","","",""
"17035-12424","C","Timofey","","Mozgov","16.084615854116585","13","3600","OKC@LAL","LAL","OKC","","","",""
"17035-9652","PG","Jameer","","Nelson","15.49230722280649","13","3600","CHI@DEN","DEN","CHI","","","",""
"17035-16604","SG","Justin","","Holiday","11.799999530498798","13","3600","POR@NY","NY","POR","","","",""
"17035-15846","SG","Tim","","Hardaway Jr.","17.146153376652645","13","3600","NO@ATL","ATL","NO","","","",""
"17035-66048","SF","Brandon","","Ingram","13.928571428571429","14","3500","OKC@LAL","LAL","OKC","","","",""
"17035-9734","SF","Mike","","Miller","4.466666539510091","3","3500","CHI@DEN","DEN","CHI","GTD","Personal","",""
"17035-40206","SG","Alex","","Abrines","7.153846153846154","13","3500","OKC@LAL","OKC","LAL","","","",""
"17035-23824","PG","Archie","","Goodwin","6.166666666666667","3","3500","NO@ATL","NO","ATL","","","",""
"17035-66064","SG","Malik","","Beasley","3.066666603088379","6","3500","CHI@DEN","DEN","CHI","","","",""
"17035-23572","SF","Taurean","","Prince","7.287499904632568","8","3500","NO@ATL","ATL","NO","","","",""
"17035-55063","C","Walter","","Tavares","3.200000047683716","1","3500","NO@ATL","ATL","NO","","","",""
"17035-9501","PF","Kris","","Humphries","9.508333206176758","12","3500","NO@ATL","ATL","NO","","","",""
"17035-66091","PF","Cheick","","Diallo","3.200000047683716","1","3500","NO@ATL","NO","ATL","","","",""
"17035-71467","PG","Malcolm","","Delaney","13.00769277719351","13","3500","NO@ATL","ATL","NO","","","",""
"17035-9529","SG","Anthony","","Morrow","4.099999904632568","8","3500","OKC@LAL","OKC","LAL","","","",""
"17035-15417","SF","Solomon","","Hill","14.400000435965401","14","3500","NO@ATL","NO","ATL","","","",""
"17035-16191","SF","Josh","","Huestis","5.8","5","3500","OKC@LAL","OKC","LAL","","","",""
"17035-9804","C","Alexis","","Ajinca","9.528570992606026","7","3500","NO@ATL","NO","ATL","GTD","Shoulder","",""
"17035-9567","SG","Sasha","","Vujacic","4.012499809265137","8","3500","POR@NY","NY","POR","","","",""
"17035-9568","SF","Metta","","World Peace","1.2999999523162842","4","3500","OKC@LAL","LAL","OKC","","","",""
"17035-11104","SF","Alonzo","","Gee","2.366666634877523","3","3500","CHI@DEN","DEN","CHI","","","",""
"17035-41065","PG","Tim","","Quarterman","3.7249999046325684","4","3500","POR@NY","POR","NY","","","",""
"17035-9580","PF","Darrell","","Arthur","5.650000095367432","2","3500","CHI@DEN","DEN","CHI","","","",""
"17035-23148","PG","Semaj","","Christon","9.446154080904448","13","3500","OKC@LAL","OKC","LAL","GTD","Concussion","",""
"17035-23665","SG","Buddy","","Hield","13.849999564034599","14","3500","NO@ATL","NO","ATL","","","",""
"17035-15730","PF","Thomas","","Robinson","2.449999968210856","6","3500","OKC@LAL","LAL","OKC","","","",""
"17035-15993","SG","Pat","","Connaughton","3.133333206176758","6","3500","POR@NY","POR","NY","","","",""
"17035-12421","C","Tiago","","Splitter","11.977778116861979","36","3500","NO@ATL","ATL","NO","O","Hamstring","",""
"17035-12423","C","Omer","","Asik","12.12142835344587","14","3500","NO@ATL","NO","ATL","","","",""
"17035-15501","SG","Allen","","Crabbe","16.086666870117188","15","3500","POR@NY","POR","NY","","","",""
"17035-63127","C","Guillermo","","Hernangomez","10.280000305175781","10","3500","POR@NY","NY","POR","","","",""
"17035-48799","PF","Maurice","","Ndour","6.428571428571429","7","3500","POR@NY","NY","POR","","","",""
"17035-42661","PF","Noah","","Vonleh","8.758333206176758","12","3500","POR@NY","POR","NY","","","",""
"17035-70822","PF","Juancho","","Hernangomez","7.954545454545454","11","3500","CHI@DEN","DEN","CHI","","","",""
"17035-70827","C","Ivica","","Zubac","5.066666603088379","3","3500","OKC@LAL","LAL","OKC","","","",""
"17035-42156","PF","Bobby","","Portis","9.323076688326323","13","3500","CHI@DEN","CHI","DEN","","","",""
"17035-71345","SF","Mindaugas","","Kuzminskas","7.319999694824219","10","3500","POR@NY","NY","POR","","","",""
"17035-9649","PF","Nick","","Collison","1.7799999237060546","5","3500","OKC@LAL","OKC","LAL","","","",""
"17035-70832","SF","Paul","","Zipser","2.779999923706055","5","3500","CHI@DEN","CHI","DEN","GTD","Back","",""
"17035-17332","C","Tarik","","Black","13.221429007393974","14","3500","OKC@LAL","LAL","OKC","","","",""
"17035-49336","SF","DeAndre'","","Bembry","2.200000047683716","4","3500","NO@ATL","ATL","NO","","","",""
"17035-14532","SF","Kyle","","Singler","4.477777693006727","9","3500","OKC@LAL","OKC","LAL","","","",""
"17035-22727","PG","Ron","","Baker","5.849999904632568","4","3500","POR@NY","NY","POR","","","",""
"17035-15560","PG","Shabazz","","Napier","6.3900001525878904","10","3500","POR@NY","POR","NY","","","",""
"17035-16331","C","Festus","","Ezeli","16.91304347826087","46","3500","POR@NY","POR","NY","O","Knee","",""
"17035-23248","SG","R.J.","","Hunter","0","1","3500","CHI@DEN","CHI","DEN","","","",""
"17035-9940","SF","Dante","","Cunningham","12.838461068960337","13","3500","NO@ATL","NO","ATL","","","",""
"17035-66521","PG","Marcelo","","Huertas","6.933333079020183","3","3500","OKC@LAL","LAL","OKC","","","",""
"17035-16859","SF","Lance","","Thomas","8.162500381469727","8","3500","POR@NY","NY","POR","GTD","Ankle","",""
"17035-59358","PF","Domantas","","Sabonis","13.721429007393974","14","3500","OKC@LAL","OKC","LAL","","","",""
"17035-24546","SG","Denzel","","Valentine","4.320000076293946","10","3500","CHI@DEN","CHI","DEN","","","",""
"17035-23780","PF","Jake","","Layman","7.912499904632568","8","3500","POR@NY","POR","NY","","","",""
"17035-15589","C","Marshall","","Plumlee","1.2000000476837158","1","3500","POR@NY","NY","POR","","","",""
"17035-17384","C","Kyle","","O'Quinn","11.569230299729567","13","3500","POR@NY","NY","POR","","","",""
"17035-9712","PG","Jose","","Calderon","5.100000063578288","6","3500","OKC@LAL","LAL","OKC","","","",""
"17035-16368","SF","Mike","","Scott","11.602666829427083","75","3500","NO@ATL","ATL","NO","O","Knee","",""
"17035-63478","C","Cristiano","","Felicio","6.65","10","3500","CHI@DEN","CHI","DEN","","","",""
