Pos,Player,Salary,Fpts,$/Point
PG,Russell Westbrook,13600,59.95,$ 226.86
PG,Dennis Schroder,7000,36.24,$ 193.16
SG,Louis Williams,4600,27.4,$ 167.88
SG,Monta Ellis,4500,29.39,$ 153.11
SF,Troy Williams,3500,22.26,$ 157.23
SF,Paul George,8900,44.51,$ 199.96
PF,Draymond Green,7400,38.67,$ 191.36
PF,Zach Randolph,5600,32.57,$ 171.94
C,Robin Lopez,4900,29.27,$ 167.41
,,60000,320.26,$ 187.35
