Pos,Player,Salary,Fpts,$/Point
PG,Ricky Rubio,6700,34.59,$ 193.70
PG,Mike Conley,7500,37,$ 202.70
SG,Bradley Beal,7400,35.8,$ 206.70
SG,Wayne Ellington,3600,22.06,$ 163.19
SF,Wilson Chandler,6000,30.23,$ 198.48
SF,Matt Barnes,5200,27.36,$ 190.06
PF,Kevin Love,8200,43.26,$ 189.55
PF,Markieff Morris,6900,33.98,$ 203.06
C,Andre Drummond,8300,38.93,$ 213.20
,,59800,303.21,$ 197.22
