Pos,Player,Salary,Fpts,$/Point
PG,Chris Paul,9100,46.22,$ 196.88
PG,Sergio Rodriguez,4000,26.08,$ 153.37
SG,Jodie Meeks,3800,23.07,$ 164.72
SG,Justin Holiday,3500,20.04,$ 174.65
SF,Kevin Durant,10000,50.86,$ 196.62
SF,LeBron James,9900,50.35,$ 196.62
PF,Paul Millsap,8100,42.3,$ 191.49
PF,Enes Kanter,6200,36.06,$ 171.94
C,Cody Zeller,5100,26.71,$ 190.94
,,59700,321.69,$ 185.58
