Pos,Player,Salary,Fpts,$/Point
PG,J.J. Barea,5700.00,27.8,$ 205.04
PG,Kris Dunn,4800.00,26.52,$ 181.00
SG,Devin Booker,6700.00,29.62,$ 226.20
SG,Sean Kilpatrick,4900.00,24.96,$ 196.31
SF,LeBron James,9900.00,47.1,$ 210.19
SF,Harrison Barnes,5700.00,29.71,$ 191.85
PF,Julius Randle,6300.00,30.08,$ 209.44
PF,Gorgui Dieng,6000.00,29.51,$ 203.32
C,DeMarcus Cousins,9500.00,46.61,$ 203.82
,,59500,291.91,$ 203.83
