Pos,Player,Salary,Fpts,$/Point
PG,Russell Westbrook,13100,60.91,$ 215.07
PG,Yogi Ferrell,5100,25.03,$ 203.76
SG,C.J. McCollum,7200,33.42,$ 215.44
SG,Seth Curry,6200,30.16,$ 205.57
SF,Moe Harkless,4800,23.97,$ 200.25
SF,Harrison Barnes,6100,31.05,$ 196.46
PF,Enes Kanter,5800,28.88,$ 200.83
PF,Dirk Nowitzki,6000,28.89,$ 207.68
C,Alan Williams,5500,29.62,$ 185.69
,,59800,291.93,$ 204.84
