Pos,Player,Salary,Fpts,$/Point
PG,Tyler Ulis,6000,35.65,$ 168.30
PG,Tyler Johnson,5400,28.53,$ 189.27
SG,C.J. McCollum,7100,34.25,$ 207.30
SG,Buddy Hield,4400,21.55,$ 204.18
SF,Harrison Barnes,5800,30.67,$ 189.11
SF,Kawhi Leonard,9900,49.25,$ 201.02
PF,Marquese Chriss,4900,28.43,$ 172.35
PF,LaMarcus Aldridge,7000,34.36,$ 203.73
C,DeMarcus Cousins,9400,46.39,$ 202.63
,,59900,309.08,$ 193.80
