Pos,Player,Salary,Fpts,$/Point
PG,Russell Westbrook,11800.00,55.75,$ 211.66
PG,Rajon Rondo,5700.00,31.13,$ 183.10
SG,Zach LaVine,5700.00,28.36,$ 200.99
SG,Jordan Clarkson,4900.00,25.66,$ 190.96
SF,Andrew Wiggins,6500.00,32.74,$ 198.53
SF,Moe Harkless,4500.00,22.62,$ 198.94
PF,Anthony Davis,11600.00,51.96,$ 223.25
PF,JaMychal Green,4400.00,24.42,$ 180.18
C,Steven Adams,4900.00,26.58,$ 184.35
,,60000,299.22,$ 200.52
