Pos,Player,Salary,Fpts,$/Point
PG,Tim Frazier,5500.00,29.85,$ 184.25
PG,Sergio Rodriguez,5100.00,26.81,$ 190.23
SG,James Harden,11200.00,47.4,$ 236.29
SG,Nicolas Batum,6400.00,32.02,$ 199.88
SF,Jimmy Butler,7900.00,39.28,$ 201.12
SF,Kent Bazemore,4500.00,24.3,$ 185.19
PF,Anthony Davis,10700.00,54.94,$ 194.76
PF,Richaun Holmes,3500.00,22,$ 159.09
C,Steven Adams,5000.00,27.79,$ 179.92
,,59800,304.39,$ 196.46
