Pos,Player,Salary,Fpts,$/Point
PG,Kyle Lowry,9000,44.44,$ 202.52
PG,Jameer Nelson,3600,23.92,$ 150.50
SG,James Harden,12300,54.43,$ 225.98
SG,Dion Waiters,5200,27.4,$ 189.78
SF,Wilson Chandler,5800,28.37,$ 204.44
SF,Sam Dekker,3500,22.13,$ 158.16
PF,Nikola Jokic,8500,41.63,$ 204.18
PF,Dirk Nowitzki,5700,28.82,$ 197.78
C,Jonas Valanciunas,6000,30.78,$ 194.93
,,59600,301.92,$ 197.40
