Pos,Player,Salary,Fpts,$/Point
PG,Kemba Walker,7500,38.19,$ 196.39
PG,Russell Westbrook,12500,58.31,$ 214.37
SG,James Harden,12600,54.19,$ 232.52
SG,Jordan McRae,3500,24.82,$ 141.02
SF,Robert Covington,5800,27.18,$ 213.39
SF,Moe Harkless,3800,21.34,$ 178.07
PF,Ryan Anderson,4800,23.46,$ 204.60
PF,Channing Frye,4300,24.51,$ 175.44
C,Clint Capela,5200,28.77,$ 180.74
,,60000,300.77,$ 199.49
