Pos,Player,Salary,Fpts,$/Point
PG,Kyle Lowry,8700,42.47,$ 204.85
PG,Brandon Jennings,5600,30.54,$ 183.37
SG,Norman Powell,4200,27.31,$ 153.79
SG,Nicolas Batum,7300,34.81,$ 209.71
SF,LeBron James,11000,50.68,$ 217.05
SF,Jimmy Butler,9500,42.99,$ 220.98
PF,Dario Saric,4400,23.83,$ 184.64
PF,Domantas Sabonis,3500,20.68,$ 169.25
C,Jonas Valanciunas,5800,29.23,$ 198.43
,,60000,302.54,$ 198.32
