Pos,Player,Salary,Fpts,$/Point
PG,Dennis Schroder,6500,31.95,$ 203.44
PG,Darren Collison,5200,28.44,$ 182.84
SG,Will Barton,5800,31.57,$ 183.72
SG,Giannis Antetokounmpo,11200,51.92,$ 215.72
SF,Wilson Chandler,6700,33.7,$ 198.81
SF,James Ennis,3800,21.99,$ 172.81
PF,James Johnson,6000,28.74,$ 208.77
PF,Anthony Davis,10900,49.7,$ 219.32
C,John Henson,3900,21.13,$ 184.57
,,60000,299.14,$ 200.57
