Pos,Player,Salary,Fpts,$/Point
PG,Dennis Schroder,5900.00,30.69,$ 192.25
PG,Rajon Rondo,5900.00,29.89,$ 197.39
SG,James Harden,11500.00,58.49,$ 196.61
SG,Evan Fournier,5800.00,29.56,$ 196.21
SF,Kawhi Leonard,8100.00,40.32,$ 200.89
SF,Andrew Wiggins,6000.00,30.78,$ 194.93
PF,Tobias Harris,5700.00,28.7,$ 198.61
PF,Larry Nance,4300.00,21.2,$ 202.83
C,Joel Embiid,6200.00,35.62,$ 174.06
,,59400,305.25,$ 194.59
