Pos,Player,Salary,Fpts,$/Point
PG,Jrue Holiday,6800,33.8,$ 201.18
PG,Rajon Rondo,4400,22.71,$ 193.75
SG,Dwyane Wade,6900,37.13,$ 185.83
SG,Klay Thompson,6400,30.53,$ 209.63
SF,Kawhi Leonard,8700,41.02,$ 212.09
SF,Wilson Chandler,5600,28.47,$ 196.70
PF,Anthony Davis,11800,50.86,$ 232.01
PF,Taj Gibson,5000,25.87,$ 193.27
C,Robin Lopez,4100,21.71,$ 188.85
,,59700,292.1,$ 204.38
