Pos,Player,Salary,Fpts,$/Point
PG,John Wall,10400,44.01,$ 236.31
PG,Jeff Teague,7200,32.46,$ 221.81
SG,Marcus Smart,5800,26.67,$ 217.47
SG,Michael Carter-Williams,4900,24.2,$ 202.48
SF,Otto Porter,6600,28.86,$ 228.69
SF,Jimmy Butler,9700,43.96,$ 220.66
PF,Amir Johnson,3700,16.68,$ 221.82
PF,Taj Gibson,4600,20.45,$ 224.94
C,Al Horford,7000,31.59,$ 221.59
,,59900,268.88,$ 222.78
