Pos,Player,Salary,Fpts,$/Point
PG,Shelvin Mack,4000.00,21.39,$ 187.00
PG,Darren Collison,6000.00,33.9,$ 176.99
SG,James Harden,11700.00,55.27,$ 211.69
SG,J.R. Smith,3500.00,26.93,$ 129.97
SF,Kawhi Leonard,8300.00,45.5,$ 182.42
SF,Paul George,8300.00,37.58,$ 220.86
PF,Trevor Booker,5900.00,31.19,$ 189.16
PF,Channing Frye,3600.00,24.63,$ 146.16
C,Hassan Whiteside,8700.00,40.53,$ 214.66
,,60000,316.92,$ 189.32
