Pos,Player,Salary,Fpts,$/Point
PG,Elfrid Payton,7300,38.58,$ 189.22
PG,Russell Westbrook,13400,65.54,$ 204.46
SG,Tim Hardaway Jr.,5600,31.15,$ 179.78
SG,Will Barton,5800,29.33,$ 197.75
SF,Taurean Prince,3700,18.83,$ 196.49
SF,Matt Barnes,4200,20.91,$ 200.86
PF,Ersan Ilyasova,4500,26.26,$ 171.36
PF,Blake Griffin,8700,40,$ 217.50
C,Dwight Howard,6800,36.87,$ 184.43
,,60000,307.47,$ 195.14
