Pos,Player,Salary,Fpts,$/Point
PG,Kyrie Irving,9100,39.1,$ 232.74
PG,Derrick Rose,6800,34.18,$ 198.95
SG,J.J. Redick,4000,22.2,$ 180.18
SG,Jamal Crawford,4000,22.4,$ 178.57
SF,LeBron James,10500,47.69,$ 220.17
SF,Carmelo Anthony,8400,41.32,$ 203.29
PF,Paul Millsap,7600,35.17,$ 216.09
PF,Marreese Speights,3500,23.14,$ 151.25
C,Guillermo Hernangomez,6000,31.91,$ 188.03
,,59900,297.11,$ 201.61
