Pos,Player,Salary,Fpts,$/Point
PG,Tyler Ulis,6800,32.41,$ 209.81
PG,Jeremy Lin,6000,29.81,$ 201.27
SG,Devin Booker,6900,32.12,$ 214.82
SG,C.J. McCollum,7800,33.62,$ 232.00
SF,Harrison Barnes,5600,25.81,$ 216.97
SF,Carmelo Anthony,6500,31.63,$ 205.50
PF,James Johnson,6100,27.37,$ 222.87
PF,Kristaps Porzingis,7000,33.73,$ 207.53
C,Brook Lopez,7200,34.82,$ 206.78
,,59900,281.32,$ 212.92
