Pos,Player,Salary,Fpts,$/Point
PG,Chris Paul,9100.00,44.66,$ 203.76
PG,Andrew Harrison,3900.00,25.75,$ 151.46
SG,James Harden,11300.00,54.58,$ 207.04
SG,Wesley Matthews,4700.00,24.13,$ 194.78
SF,Kevin Durant,10200.00,49.07,$ 207.87
SF,Gordon Hayward,7600.00,38.67,$ 196.53
PF,Frank Kaminsky,4500.00,25.13,$ 179.07
PF,JaMychal Green,4400.00,23.2,$ 189.66
C,John Henson,4200.00,23.18,$ 181.19
,,59900,308.37,$ 194.25
