Pos,Player,Salary,Fpts,$/Point
PG,Russell Westbrook,12400.00,60.22,$ 205.91
PG,Rajon Rondo,5800.00,33.12,$ 175.12
SG,Dwyane Wade,6900.00,35.67,$ 193.44
SG,Louis Williams,5000.00,27.39,$ 182.55
SF,Kawhi Leonard,8400.00,40.54,$ 207.20
SF,Otto Porter,6100.00,29.34,$ 207.91
PF,Tobias Harris,5300.00,27.94,$ 189.69
PF,Ed Davis,3600.00,18.92,$ 190.27
C,Joel Embiid,6200.00,34.05,$ 182.09
,,59700,307.19,$ 194.34
