Pos,Player,Salary,Fpts,$/Point
PG,Russell Westbrook,13000,59.29,$ 219.26
PG,D'Angelo Russell,6400,33.81,$ 189.29
SG,DeMar DeRozan,9900,45.36,$ 218.25
SG,Alec Burks,3500,18.13,$ 193.05
SF,Khris Middleton,5300,27.27,$ 194.35
SF,Brandon Ingram,3800,19.38,$ 196.08
PF,Kristaps Porzingis,6700,33.32,$ 201.08
PF,Julius Randle,6300,32.15,$ 195.96
C,Alan Williams,4900,24.55,$ 199.59
,,59800,293.26,$ 203.91
