Pos,Player,Salary,Fpts,$/Point
PG,Russell Westbrook,11900.00,55.62,$ 213.95
PG,Derrick Rose,5800.00,28.05,$ 206.77
SG,Victor Oladipo,6000.00,32.57,$ 184.22
SG,Bradley Beal,6000.00,31.99,$ 187.56
SF,Carmelo Anthony,7600.00,40.64,$ 187.01
SF,Kawhi Leonard,8600.00,40.03,$ 214.84
PF,Frank Kaminsky,4600.00,27.9,$ 164.87
PF,Jon Leuer,4400.00,26.72,$ 164.67
C,Steven Adams,4800.00,24.62,$ 194.96
,,59700,308.14,$ 193.74
