Pos,Player,Salary,Fpts,$/Point
PG,Elfrid Payton,5400.00,27.47,$ 196.58
PG,Ricky Rubio,6100.00,29.99,$ 203.40
SG,Nicolas Batum,6300.00,29.73,$ 211.91
SG,Allen Crabbe,3900.00,20.91,$ 186.51
SF,LeBron James,9900.00,47.07,$ 210.33
SF,Kevin Durant,9500.00,39.36,$ 241.36
PF,Kenneth Faried,5100.00,27.97,$ 182.34
PF,Serge Ibaka,5200.00,25.44,$ 204.40
C,Karl-Anthony Towns,8600.00,39.13,$ 219.78
,,60000,287.07,$ 209.01
