Pos,Player,Salary,Fpts,$/Point
PG,Kris Dunn,4000.00,22.72,$ 176.06
PG,Sergio Rodriguez,5100.00,26.81,$ 190.23
SG,Giannis Antetokounmpo,9600.00,47.94,$ 200.25
SG,Dion Waiters,4500.00,19.6,$ 229.59
SF,LeBron James,9900.00,49.05,$ 201.83
SF,Justise Winslow,5000.00,26.16,$ 191.13
PF,Anthony Davis,11000.00,54.94,$ 200.22
PF,Thaddeus Young,6100.00,31.27,$ 195.08
C,Joel Embiid,4500.00,29.06,$ 154.85
,,59700,307.55,$ 194.11
