Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Toronto,at ORL,3in4,,
Orlando,TOR,,at ATL,3in4-B2B
Indiana,at BKN,,DET,3in4-B2B
Brooklyn,IND,,,
Minnesota,at DET,,MEM,3in4-B2B
Detroit,MIN,,at IND,3in4-B2B
Chicago,at HOU,,,
Houston,CHI,3in4-B2B,,
L.A. Lakers,at BOS,3in4-B2B,,
Boston,LAL,,,
Memphis,at OKC,,at MIN,3in4-B2B
Oklahoma City,MEM,3in4,,
Milwaukee,at DEN,,at PHO,3in4-B2B
Denver,MIL,3in4,at SAS,4in5-B2B
Phoenix,at SAC,,MIL,3in4-B2B
Sacramento,PHO,,GSW,B2B
Dallas,at POR,,,
Portland,DAL,,,
