Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Milwaukee,at WAS,3in4-B2B,,
Washington,MIL,,,
Portland,at IND,3in4,,
Indiana,POR,3in4-B2B,,
Denver,at ORL,3in4,,
Orlando,DEN,4in5-B2B,,
Charlotte,at CLE,3in4-B2B,,
Cleveland,CHA,3in4-B2B,,
Miami,at CHI,4in5-B2B,,
Chicago,MIA,,,
Dallas,at HOU,3in4-B2B,,
Houston,DAL,3in4-B2B,,
Golden State,at MEM,3in4,at MIN,4in5-B2B
Memphis,GSW,,,
Brooklyn,at SAS,,,
San Antonio,BKN,,,
Sacramento,at UTA,3in4-B2B,,
Utah,SAC,,,
New Orleans,at LAC,,at PHO,3in4-B2B
L.A. Clippers,NOP,,,
