Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
New York,at PHI,,,
Philadelphia,NYK,,DET,3in4-B2B
Miami,at ORL,,CLE,3in4-B2B
Orlando,MIA,,,
Toronto,at WAS,,at MIL,3in4-B2B
Washington,TOR,3in4,,
Cleveland,at ATL,,at MIA,3in4-B2B
Atlanta,CLE,,,
L.A. Clippers,at MIL,,at CHI,3in4-B2B
Milwaukee,LAC,,TOR,3in4-B2B
Memphis,at DAL,,at HOU,B2B
Dallas,MEM,,,
Brooklyn,at UTA,,at POR,3in4-B2B
Utah,BKN,3in4,,
Oklahoma City,at PHO,3in4-B2B,,
Phoenix,OKC,3in4-B2B,,
San Antonio,at NOP,,MIN,3in4-B2B
New Orleans,SAS,,,
Boston,at LAL,,,
L.A. Lakers,BOS,,,
