Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Atlanta,at CHA,3in4,,
Charlotte,ATL,,at NOP,B2B
Phoenix,at IND,,at PHI,3in4-B2B
Indiana,PHO,,,
Detroit,at CLE,,BOS,3in4-B2B
Cleveland,DET,3in4,,
Golden State,at BOS,,at MIL,3in4-B2B
Boston,GSW,,at DET,3in4-B2B
Portland,at NOP,3in4-B2B,,
New Orleans,POR,,CHA,3in4-B2B
Brooklyn,at OKC,,,
Oklahoma City,BKN,,,
Memphis,at DAL,,MIN,3in4-B2B
Dallas,MEM,,at ORL,3in4-B2B
Toronto,at DEN,3in4,,
Denver,TOR,,,
San Antonio,at LAL,,,
L.A. Lakers,SAS,,,
L.A. Clippers,at SAC,,CHI,3in4-B2B
Sacramento,LAC,,,
