Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Oklahoma City,at IND,3in4-B2B,,
Indiana,OKC,3in4,,
L.A. Lakers,at NYK,,,
New York,LAL,,,
Cleveland,at WAS,,,
Washington,CLE,,,
Utah,at ATL,,,
Atlanta,UTA,,,
L.A. Clippers,at TOR,B2B,,
Toronto,LAC,3in4-B2B,,
Philadelphia,at DET,,,
Detroit,PHI,3in4,,
Phoenix,at NOP,3in4,,
New Orleans,PHO,,,
Miami,at MIN,,,
Minnesota,MIA,3in4,,
Dallas,at DEN,,POR,B2B
Denver,DAL,3in4,,
San Antonio,at MEM,,,
Memphis,SAS,3in4,,
Chicago,at SAC,,,
Sacramento,CHI,3in4,,
