Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Milwaukee,at WAS,,,
Washington,MIL,,,
Memphis,at ORL,,at BOS,B2B
Orlando,MEM,,,
Charlotte,at BKN,,,
Brooklyn,CHA,,,
Cleveland,at DET,3in4-B2B,,
Detroit,CLE,,,
Phoenix,at HOU,,,
Houston,PHO,,at DAL,B2B
Atlanta,at MIN,,,
Minnesota,ATL,3in4-B2B,,
Indiana,at CHI,,,
Chicago,IND,3in4-B2B,,
Dallas,at NOP,,HOU,B2B
New Orleans,DAL,,,
Toronto,at POR,,,
Portland,TOR,,,
Philadelphia,at SAC,,,
Sacramento,PHI,,,
Denver,at LAC,,,
L.A. Clippers,DEN,4in5-B2B,,
