Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Washington,at MIA,,,
Miami,WAS,,,
Philadelphia,at NYK,,,
New York,PHI,,,
Atlanta,at IND,3in4-B2B,,
Indiana,ATL,,,
Dallas,at MEM,3in4-B2B,,
Memphis,DAL,,,
Toronto,at CLE,,,
Cleveland,TOR,3in4,,
Denver,at OKC,3in4-B2B,,
Oklahoma City,DEN,3in4-B2B,,
Minnesota,at HOU,3in4-B2B,,
Houston,MIN,3in4,,
Detroit,at ORL,3in4,,
Orlando,DET,,,
Brooklyn,at CHI,,,
Chicago,BKN,,,
Milwaukee,at BOS,,,
Boston,MIL,,,
New Orleans,at POR,B2B,,
Portland,NOP,,,
Sacramento,at LAC,3in4-B2B,,
L.A. Clippers,SAC,,,
L.A. Lakers,at GSW,3in4-B2B,,
Golden State,LAL,,,
San Antonio,at UTA,,,
Utah,SAS,,,
