Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Utah,at OKC,,,
Oklahoma City,UTA,,,
Philadelphia,at LAC,,at LAL,3in4-B2B
L.A. Clippers,PHI,3in4,,
New York,at DET,,at BKN,B2B
Detroit,NYK,3in4,,
New Orleans,at CHA,,,
Charlotte,NOP,3in4-B2B,,
Cleveland,at ORL,,at HOU,3in4-B2B
Orlando,CLE,3in4-B2B,,
Toronto,at MIA,3in4-B2B,,
Miami,TOR,,at IND,B2B
Minnesota,at MIL,3in4-B2B,,
Milwaukee,MIN,3in4-B2B,,
Golden State,at SAS,3in4-B2B,,
San Antonio,GSW,3in4,,
Atlanta,at MEM,3in4-B2B,,
Memphis,ATL,,,
Phoenix,at DAL,,POR,3in4-B2B
Dallas,PHO,B2B,,
Washington,at POR,4in5-B2B,,
Portland,WAS,,at PHO,3in4-B2B
Denver,at SAC,3in4-B2B,,
Sacramento,DEN,3in4-B2B,,
