Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Toronto,at IND,,at DET,3in4-B2B
Indiana,TOR,,,
Charlotte,at WAS,,MIA,3in4-B2B
Washington,CHA,,,
Brooklyn,at PHI,3in4,,
Philadelphia,BKN,,,
Orlando,at CLE,,,
Cleveland,ORL,,at BOS,3in4-B2B
Denver,at NOP,,at HOU,3in4-B2B
New Orleans,DEN,,,
Chicago,at NYK,3in4,,
New York,CHI,,,
Milwaukee,at OKC,,,
Oklahoma City,MIL,,at MEM,3in4-B2B
Memphis,at SAS,,OKC,3in4-B2B
San Antonio,MEM,,LAL,3in4-B2B
Portland,at UTA,,,
Utah,POR,,,
Minnesota,at GSW,,,
Golden State,MIN,,at PHO,3in4-B2B
Dallas,at SAC,,at LAC,3in4-B2B
Sacramento,DAL,,,
