Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
San Antonio,at BOS,,at WAS,3in4-B2B
Boston,SAS,,,
Washington,at ORL,,SAS,B2B
Orlando,WAS,,,
Chicago,at PHI,,,
Philadelphia,CHI,,,
L.A. Clippers,at DET,,,
Detroit,LAC,,at OKC,3in4-B2B
Dallas,at CLE,,,
Cleveland,DAL,,,
Charlotte,at NYK,,NYK,3in4-B2B
New York,CHA,,at CHA,B2B
Atlanta,at UTA,3in4,,
Utah,ATL,,,
Toronto,at MIL,,,
Milwaukee,TOR,,,
Miami,at MEM,,MEM,3in4-B2B
Memphis,MIA,,at MIA,3in4-B2B
Brooklyn,at IND,,,
Indiana,BKN,,,
Oklahoma City,at DEN,3in4,DET,4in5-B2B
Denver,OKC,3in4,,
Minnesota,at PHO,,at GSW,3in4-B2B
Phoenix,MIN,,,
New Orleans,at POR,3in4,,
Portland,NOP,3in4,,
Houston,at SAC,,,
Sacramento,HOU,,,
Golden State,at LAL,,MIN,3in4-B2B
L.A. Lakers,GSW,3in4,,
