Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Toronto,at CHA,3in4,,
Charlotte,TOR,,BKN,3in4-B2B
Portland,at PHI,,at BOS,3in4-B2B
Philadelphia,POR,,at ATL,3in4-B2B
Milwaukee,at ORL,,at MIA,3in4-B2B
Orlando,MIL,,,
Sacramento,at MEM,,at CHI,3in4-B2B
Memphis,SAC,,HOU,3in4-B2B
Golden State,at HOU,,,
Houston,GSW,3in4,at MEM,4in5-B2B
Chicago,at ATL,,SAC,B2B
Atlanta,CHI,,PHI,3in4-B2B
Brooklyn,at NOP,,at CHA,B2B
New Orleans,BKN,,,
Utah,at DAL,,IND,B2B
Dallas,UTA,3in4-B2B,,
Indiana,at LAL,,at UTA,3in4-B2B
L.A. Lakers,IND,,,
