Team,Situation
Atlanta,
Boston,
Brooklyn,
Charlotte,
Chicago,
Cleveland,
Dallas,
Denver,
Detroit,
Golden State,
Houston,
Indiana,
L.A. Clippers,
L.A. Lakers,
Memphis,B2B
Miami,
Milwaukee,B2B
Minnesota,
New Orleans,
New York,
Oklahoma City,
Orlando,
Philadelphia,
Phoenix,
Portland,
Sacramento,
San Antonio,3in4-B2B
Toronto,
Utah,
Washington,
