Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
San Antonio,at ORL,3in4,,
Orlando,SAS,,,
Indiana,at CLE,,WAS,3in4-B2B
Cleveland,IND,B2B,,
Philadelphia,at BOS,,,
Boston,PHI,,at CHI,3in4-B2B
Charlotte,at TOR,,,
Toronto,CHA,3in4-B2B,,
Dallas,at DET,,,
Detroit,DAL,3in4,,
Milwaukee,at BKN,,,
Brooklyn,MIL,,,
New Orleans,at MEM,3in4,,
Memphis,NOP,,,
Miami,at HOU,,,
Houston,MIA,,,
Portland,at UTA,,,
Utah,POR,,,
L.A. Lakers,at PHO,B2B,,
Phoenix,LAL,,,
Minnesota,at DEN,3in4-B2B,,
Denver,MIN,,,
New York,at OKC,,,
Oklahoma City,NYK,,,
Atlanta,at LAC,,,
L.A. Clippers,ATL,,,
Sacramento,at GSW,3in4-B2B,,
Golden State,SAC,,,
