Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Miami,at CLE,3in4,,
Cleveland,MIA,3in4,,
Milwaukee,at PHI,3in4,,
Philadelphia,MIL,3in4,,
New York,at ORL,3in4-B2B,,
Orlando,NYK,3in4-B2B,,
Chicago,at DET,,,
Detroit,CHI,,,
Golden State,at ATL,B2B,,
Atlanta,GSW,3in4-B2B,,
Brooklyn,at MEM,3in4,,
Memphis,BKN,3in4,,
Indiana,at CHA,B2B,,
Charlotte,IND,,,
Portland,at MIN,,at OKC,3in4-B2B
Minnesota,POR,,,
Houston,at SAS,,,
San Antonio,HOU,3in4,,
New Orleans,at UTA,3in4-B2B,,
Utah,NOP,3in4-B2B,,
Sacramento,at DEN,B2B,,
Denver,SAC,,,
Boston,at LAC,3in4-B2B,,
L.A. Clippers,BOS,3in4,,
