Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Chicago,at CHA,,,
Charlotte,CHI,,,
L.A. Lakers,at ORL,3in4-B2B,,
Orlando,LAL,3in4-B2B,,
Oklahoma City,at BOS,,,
Boston,OKC,3in4-B2B,,
Golden State,at DET,3in4-B2B,,
Detroit,GSW,,,
Brooklyn,at CLE,3in4-B2B,,
Cleveland,BKN,3in4,,
Miami,at NOP,3in4-B2B,,
New Orleans,MIA,3in4,,
Washington,at MIL,,,
Milwaukee,WAS,3in4,,
Houston,at MEM,3in4,,
Memphis,HOU,3in4,,
Sacramento,at MIN,3in4,,
Minnesota,SAC,,,
Philadelphia,at PHO,,,
Phoenix,PHI,,,
Atlanta,at DEN,,,
Denver,ATL,,,
Toronto,at UTA,,,
Utah,TOR,3in4,,
San Antonio,at POR,3in4-B2B,,
Portland,SAS,3in4,,
Dallas,at LAC,,,
L.A. Clippers,DAL,3in4-B2B,,
