Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Portland,at BOS,3in4-B2B,,
Boston,POR,,,
Washington,at DET,3in4,,
Detroit,WAS,,,
Brooklyn,at CHA,B2B,,
Charlotte,BKN,3in4-B2B,,
Philadelphia,at ATL,3in4-B2B,,
Atlanta,PHI,3in4-B2B,,
Milwaukee,at MIA,3in4-B2B,,
Miami,MIL,,,
Phoenix,at NYK,,at TOR,3in4-B2B
New York,PHO,3in4,,
Houston,at MEM,4in5-B2B,,
Memphis,HOU,3in4-B2B,,
San Antonio,at CLE,,,
Cleveland,SAS,,,
Indiana,at UTA,3in4-B2B,,
Utah,IND,B2B,,
L.A. Clippers,at DEN,,,
Denver,LAC,,at MIN,3in4-B2B
Sacramento,at CHI,3in4-B2B,,
Chicago,SAC,B2B,,
