Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Houston,at PHI,,,
Philadelphia,HOU,3in4,,
Sacramento,at IND,,at CHA,3in4-B2B
Indiana,SAC,B2B,,
Charlotte,at NYK,,SAC,3in4-B2B
New York,CHA,,,
Milwaukee,at TOR,,BOS,3in4-B2B
Toronto,MIL,3in4,,
Brooklyn,at CLE,,at MIN,3in4-B2B
Cleveland,BKN,,,
Orlando,at BOS,,,
Boston,ORL,3in4,at MIL,4in5-B2B
San Antonio,at NOP,,,
New Orleans,SAS,,,
Miami,at CHI,,DET,3in4-B2B
Chicago,MIA,3in4,,
Washington,at ATL,,,
Atlanta,WAS,,,
Memphis,at POR,,at UTA,3in4-B2B
Portland,MEM,,,
