Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Philadelphia,at DET,,,
Detroit,PHI,,,
Boston,at OKC,,,
Oklahoma City,BOS,,,
Golden State,at MIN,4in5-B2B,,
Minnesota,GSW,3in4,,
New Orleans,at PHO,3in4-B2B,,
Phoenix,NOP,,,
New York,at LAL,,,
L.A. Lakers,NYK,,at SAC,3in4-B2B
