Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Boston,at NYK,,,
New York,BOS,,CHI,3in4-B2B
Charlotte,at OKC,,at WAS,3in4-B2B
Oklahoma City,CHA,,MIL,3in4-B2B
Memphis,at LAL,,at SAS,3in4-B2B
L.A. Lakers,MEM,3in4-B2B,,
Dallas,at MIL,,at SAC,3in4-B2B
Milwaukee,DAL,,at OKC,3in4-B2B
Utah,at SAS,,POR,3in4-B2B
San Antonio,UTA,,MEM,3in4-B2B
Denver,at MIA,,at NOP,3in4-B2B
Miami,DEN,,,
Chicago,at NOP,3in4-B2B,at NYK,4in5-B2B
New Orleans,CHI,,DEN,3in4-B2B
Philadelphia,at TOR,,BKN,3in4-B2B
Toronto,PHI,,at IND,3in4-B2B
Indiana,at CLE,,TOR,3in4-B2B
Cleveland,IND,3in4,ORL,4in5-B2B
Atlanta,at BKN,B2B,,
Brooklyn,ATL,3in4-B2B,at PHI,4in5-B2B
Washington,at GSW,,CHA,3in4-B2B
Golden State,WAS,,MIN,3in4-B2B
Houston,at PHO,3in4,,
Phoenix,HOU,3in4-B2B,,
