Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Oklahoma City,at ORL,3in4,,
Orlando,OKC,,,
Atlanta,at PHI,3in4-B2B,,
Philadelphia,ATL,3in4-B2B,,
Charlotte,at TOR,3in4-B2B,,
Toronto,CHA,,,
Miami,at NYK,3in4-B2B,,
New York,MIA,,,
Milwaukee,at BOS,3in4-B2B,,
Boston,MIL,,,
Indiana,at MEM,3in4-B2B,,
Memphis,IND,3in4,,
Dallas,at NOP,,,
New Orleans,DAL,3in4,,
Golden State,at SAS,3in4-B2B,,
San Antonio,GSW,,,
Washington,at LAC,B2B,,
L.A. Clippers,WAS,,at PHO,B2B
Utah,at SAC,,,
Sacramento,UTA,3in4,,
