Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
New Orleans,at ORL,,,
Orlando,NOP,3in4,,
Cleveland,at IND,3in4-B2B,,
Indiana,CLE,,,
Washington,at PHI,,NYK,B2B
Philadelphia,WAS,,at MIN,3in4-B2B
Milwaukee,at ATL,,at MIA,B2B
Atlanta,MIL,B2B,,
Detroit,at NYK,,,
New York,DET,,at WAS,3in4-B2B
Dallas,at BOS,,,
Boston,DAL,,,
Houston,at OKC,,POR,3in4-B2B
Oklahoma City,HOU,3in4,,
Golden State,at TOR,,,
Toronto,GSW,B2B,,
Phoenix,at DEN,,,
Denver,PHO,,,
San Antonio,at SAC,,,
Sacramento,SAS,,,
Memphis,at LAC,,,
L.A. Clippers,MEM,,,
