Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Minnesota,at ORL,B2B,,
Orlando,MIN,,,
Brooklyn,at NYK,B2B,,
New York,BKN,,,
Philadelphia,at IND,,,
Indiana,PHI,,,
Utah,at CHA,3in4,,
Charlotte,UTA,,,
Boston,at WAS,,,
Washington,BOS,,,
Chicago,at ATL,,at MIA,3in4-B2B
Atlanta,CHI,B2B,,
Toronto,at OKC,,,
Oklahoma City,TOR,,,
Detroit,at PHO,,,
Phoenix,DET,3in4-B2B,,
Houston,at SAS,,,
San Antonio,HOU,,,
Portland,at LAC,3in4-B2B,,
L.A. Clippers,POR,,,
Dallas,at GSW,3in4-B2B,,
Golden State,DAL,,at DEN,3in4-B2B
