Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Orlando,at CHA,3in4,DEN,4in5-B2B
Charlotte,ORL,,at CLE,3in4-B2B
Toronto,at BOS,B2B,,
Boston,TOR,,,
Miami,at CLE,3in4,at CHI,4in5-B2B
Cleveland,MIA,,CHA,3in4-B2B
Detroit,at MIN,3in4,,
Minnesota,DET,3in4-B2B,,
Houston,at OKC,,DAL,3in4-B2B
Oklahoma City,HOU,,,
Atlanta,at MIL,,,
Milwaukee,ATL,,at WAS,3in4-B2B
Indiana,at DAL,,POR,3in4-B2B
Dallas,IND,,at HOU,3in4-B2B
New York,at SAC,3in4,,
Sacramento,NYK,,at UTA,3in4-B2B
Phoenix,at LAL,3in4,,
L.A. Lakers,PHO,,,
