Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Orlando,at PHI,3in4-B2B,,
Philadelphia,ORL,,BOS,3in4-B2B
Minnesota,at NYK,,at CHA,3in4-B2B
New York,MIN,,,
L.A. Lakers,at TOR,3in4,at MEM,4in5-B2B
Toronto,LAL,,ATL,3in4-B2B
Sacramento,at BOS,,,
Boston,SAC,,at PHI,3in4-B2B
Detroit,at ATL,3in4,,
Atlanta,DET,,at TOR,3in4-B2B
L.A. Clippers,at NOP,3in4-B2B,,
New Orleans,LAC,,,
Cleveland,at CHI,3in4-B2B,,
Chicago,CLE,,at DAL,3in4-B2B
Washington,at SAS,,,
San Antonio,WAS,3in4,,
Houston,at DEN,3in4-B2B,,
Denver,HOU,,at UTA,3in4-B2B
