Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Indiana,at TOR,3in4,,
Toronto,IND,,,
Denver,at CHA,,,
Charlotte,DEN,3in4,,
Orlando,at BOS,,at BKN,3in4-B2B
Boston,ORL,,,
Philadelphia,at CLE,3in4,,
Cleveland,PHI,B2B,,
New York,at MIA,,,
Miami,NYK,3in4,,
Sacramento,at NOP,,at MIN,3in4-B2B
New Orleans,SAC,,,
Detroit,at MIL,4in5-B2B,,
Milwaukee,DET,3in4,,
Dallas,at MEM,,,
Memphis,DAL,,,
Washington,at UTA,3in4,,
Utah,WAS,,,
San Antonio,at OKC,,,
Oklahoma City,SAS,,,
Houston,at GSW,3in4-B2B,,
Golden State,HOU,3in4,,
