Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
L.A. Lakers,at NOP,,at MIN,3in4-B2B
New Orleans,LAL,,,
Boston,at IND,3in4-B2B,,
Indiana,BOS,3in4-B2B,,
Philadelphia,at ATL,3in4-B2B,,
Atlanta,PHI,,,
New York,at TOR,3in4-B2B,,
Toronto,NYK,3in4-B2B,,
San Antonio,at HOU,3in4-B2B,,
Houston,SAS,,,
L.A. Clippers,at MIN,3in4-B2B,,
Minnesota,LAC,,LAL,B2B
Utah,at MIA,3in4-B2B,,
Miami,UTA,,,
Washington,at CHI,3in4-B2B,,
Chicago,WAS,3in4,,
Memphis,at MIL,,,
Milwaukee,MEM,,,
Detroit,at DEN,3in4-B2B,,
Denver,DET,,at POR,3in4-B2B
Brooklyn,at PHO,,,
Phoenix,BKN,,at GSW,B2B
