Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Indiana,at ORL,,,
Orlando,IND,3in4,,
Minnesota,at CLE,,,
Cleveland,MIN,3in4,,
Atlanta,at MIA,,at HOU,B2B
Miami,ATL,,,
Toronto,at BOS,3in4-B2B,,
Boston,TOR,,,
New Orleans,at DET,3in4-B2B,,
Detroit,NOP,,,
New York,at BKN,3in4-B2B,,
Brooklyn,NYK,,,
Philadelphia,at DAL,,at SAS,B2B
Dallas,PHI,3in4,,
Milwaukee,at UTA,,,
Utah,MIL,,,
L.A. Clippers,at PHO,,GSW,B2B
Phoenix,LAC,,,
Memphis,at DEN,,,
Denver,MEM,B2B,,
Chicago,at OKC,,,
Oklahoma City,CHI,3in4-B2B,,
Charlotte,at GSW,B2B,,
Golden State,CHA,,at LAC,B2B
