Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Phoenix,at ORL,,,
Orlando,PHO,,,
Memphis,at PHI,,,
Philadelphia,MEM,,,
San Antonio,at CHA,,,
Charlotte,SAS,,,
Atlanta,at IND,3in4-B2B,,
Indiana,ATL,3in4,,
Portland,at CLE,3in4-B2B,,
Cleveland,POR,,,
Boston,at BKN,,,
Brooklyn,BOS,,,
Miami,at DET,,,
Detroit,MIA,,,
Toronto,at HOU,3in4,,
Houston,TOR,,,
L.A. Clippers,at DAL,,,
Dallas,LAC,,,
Denver,at UTA,3in4-B2B,,
Utah,DEN,,,
Minnesota,at NOP,,,
New Orleans,MIN,B2B,,
L.A. Lakers,at GSW,3in4-B2B,,
Golden State,LAL,,,
Oklahoma City,at SAC,3in4-B2B,,
Sacramento,OKC,,,
