Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
San Antonio,at PHI,,,
Philadelphia,SAS,,at ORL,3in4-B2B
Cleveland,at IND,,at OKC,3in4-B2B
Indiana,CLE,,,
L.A. Lakers,at DET,,,
Detroit,LAL,,,
Denver,at ATL,,,
Atlanta,DEN,,,
Washington,at BKN,,,
Brooklyn,WAS,3in4-B2B,,
Miami,at MIL,,,
Milwaukee,MIA,,,
Toronto,at MIN,3in4,,
Minnesota,TOR,,,
Phoenix,at MEM,,,
Memphis,PHO,,,
Utah,at NOP,,at DAL,3in4-B2B
New Orleans,UTA,,,
L.A. Clippers,at NYK,3in4,,
New York,LAC,,,
Chicago,at GSW,,,
Golden State,CHI,,,
Boston,at SAC,,at POR,B2B
Sacramento,BOS,,,
