Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Denver,at PHI,3in4,,
Philadelphia,DEN,3in4,at MEM,4in5-B2B
Washington,at BKN,,ORL,B2B
Brooklyn,WAS,,,
Oklahoma City,at ATL,B2B,,
Atlanta,OKC,3in4,,
Cleveland,at TOR,,,
Toronto,CLE,3in4,,
Boston,at HOU,3in4,,
Houston,BOS,,,
Portland,at CHI,,,
Chicago,POR,3in4,at DET,4in5-B2B
Memphis,at NOP,,PHI,3in4-B2B
New Orleans,MEM,3in4-B2B,,
San Antonio,at MIL,,at MIN,B2B
Milwaukee,SAS,,,
Charlotte,at DAL,,,
Dallas,CHA,,,
Indiana,at GSW,B2B,,
Golden State,IND,,,
Utah,at LAL,,PHO,3in4-B2B
L.A. Lakers,UTA,3in4,,
