Team,Situation
Atlanta,
Boston,
Brooklyn,
Charlotte,
Chicago,
Cleveland,
Dallas,
Denver,
Detroit,3in4-B2B
Golden State,
Houston,3in4-B2B
Indiana,
L.A. Clippers,3in4
L.A. Lakers,3in4-B2B
Memphis,4in5-B2B
Miami,
Milwaukee,
Minnesota,
New Orleans,B2B
New York,B2B
Oklahoma City,
Orlando,
Philadelphia,B2B
Phoenix,
Portland,B2B
Sacramento,
San Antonio,
Toronto,
Utah,3in4-B2B
Washington,
