Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Chicago,at ORL,,,
Orlando,CHI,3in4,,
Charlotte,at MIA,,,
Miami,CHA,,,
Brooklyn,at ATL,,,
Atlanta,BKN,3in4,,
Utah,at HOU,3in4,,
Houston,UTA,,,
New York,at MIL,3in4,,
Milwaukee,NYK,,,
Detroit,at IND,,CLE,3in4-B2B
Indiana,DET,3in4,,
Toronto,at NOP,,,
New Orleans,TOR,3in4,,
L.A. Clippers,at MIN,,at MEM,3in4-B2B
Minnesota,LAC,,,
Sacramento,at SAS,3in4,,
San Antonio,SAC,,at OKC,3in4-B2B
Washington,at DEN,3in4-B2B,,
Denver,WAS,,,
Boston,at GSW,3in4,,
Golden State,BOS,3in4,,
