Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Patrick Beverley,HOU,$5500,16,$5200,16,$21,14,$11400,14,$10200,16
Tyler Ennis,HOU,$3500,27,$3000,32,$10,23,$5000,34,$6000,32
T.J. McConnell,PHI,$5600,15,$5300,14,$16,17,$9550,17,$10500,14
Chasson Randle,PHI,$3500,27,$3000,32,$10,23,$5000,34,$6000,32
Darren Collison,SAC,$4800,18,$4800,18,$14,19,$10100,16,$9400,18
Ty Lawson,SAC,$4400,20,$4000,22,$11,21,$8950,20,$7800,22
Jeff Teague,IND,$7200,8,$7200,10,$33,8,$14900,8,$13600,10
Aaron Brooks,IND,$3500,27,$3000,32,$10,23,$5000,34,$6000,32
Kemba Walker,CHA,$7900,6,$7900,5,$41,4,$16550,5,$14600,5
Brian Roberts,CHA,$3500,27,$3000,32,$10,23,$5000,34,$6000,32
Derrick Rose,NYK,$6500,12,$5700,13,$24,13,$11950,12,$11200,13
Brandon Jennings,NYK,$3800,25,$3200,30,$10,23,$8200,22,$6300,30
Matthew Dellavedova,MIL,$3900,23,$4400,21,$10,23,$7700,25,$8700,21
Malcolm Brogdon,MIL,$5200,17,$4900,17,$18,16,$7950,24,$9700,17
Kyle Lowry,TOR,$8600,3,$8600,3,$44,3,$16150,6,$15900,3
Cory Joseph,TOR,$4000,21,$3900,23,$10,23,$6850,26,$7700,23
Spencer Dinwiddie,BKN,$3900,23,$3400,27,$10,23,$5250,32,$6700,27
Isaiah Whitehead,BKN,$3500,27,$3200,30,$10,23,$5850,29,$6300,30
Kyrie Irving,CLE,$8400,4,$8300,4,$39,6,$17850,3,$15300,4
Kay Felder,CLE,$3500,27,$3000,32,$10,23,$5000,34,$6000,32
Elfrid Payton,ORL,$6500,12,$7000,11,$26,11,$11700,13,$13300,11
D.J. Augustin,ORL,$3500,27,$3500,25,$10,23,$6500,28,$7000,25
Isaiah Thomas,BOS,$9800,2,$9600,2,$46,2,$18050,2,$17700,2
Terry Rozier,BOS,$3600,26,$3000,32,$10,23,$5400,31,$6000,32
Tony Parker,SAS,$4700,19,$4500,20,$13,20,$9100,18,$8800,20
Patty Mills,SAS,$4000,21,$4600,19,$11,21,$8300,21,$9100,19
Jrue Holiday,NOP,$6800,10,$7500,7,$26,11,$13800,10,$13800,8
Tim Frazier,NOP,$3500,27,$3400,27,$10,23,$8050,23,$6700,27
Goran Dragic,MIA,$7200,8,$7500,7,$30,9,$15100,7,$13800,8
Tyler Johnson,MIA,$6100,14,$5300,14,$19,15,$11000,15,$10500,14
Jerian Grant,CHI,$3500,27,$3500,25,$10,23,$5250,32,$7000,25
Rajon Rondo,CHI,$3500,27,$3300,29,$15,18,$9000,19,$6400,29
John Wall,WAS,$10200,1,$9900,1,$48,1,$18550,1,$18300,1
Trey Burke,WAS,$3500,27,$3000,32,$10,23,$5000,34,$6000,32
Dennis Schroder,ATL,$6700,11,$6400,12,$27,10,$13700,11,$12600,12
Malcolm Delaney,ATL,$3500,27,$3000,32,$10,23,$5700,30,$6000,32
Mike Conley,MEM,$7400,7,$7400,9,$35,7,$14900,8,$14000,7
Andrew Harrison,MEM,$3500,27,$3700,24,$10,23,$6750,27,$7300,24
Damian Lillard,POR,$8200,5,$7800,6,$41,4,$17300,4,$14400,6
Shabazz Napier,POR,$3500,27,$3000,32,$10,23,$5000,34,$6000,32
